FIPS,state,county,buildings,minimal_exposure,indirect_exposure,direct_exposure,burn_probability,wildfire_risk,population,svi,svi_socioeconomic,svi_household,svi_minority,svi_housing_transport,county_label,svi_quartile,high_high,compound_priority
16003,ID,"Adams County, ID",5600,1.78571e-4,0.173035714,0.826785714,0.983,0.978,4464,0.2017,0.6268,0.1549,0.2959,0.0175,"Adams County, ID",Q1: Least vulnerable,FALSE,0.58985
16005,ID,"Bannock County, ID",37696,0.332502122,0.378050722,0.289447156,0.988,0.99,87434,0.4995,0.4403,0.4337,0.489,0.6125,"Bannock County, ID",Q2,FALSE,0.74475
16007,ID,"Bear Lake County, ID",8323,6.00745e-4,0.281869518,0.717529737,0.833,0.849,6436,0.2024,0.2361,0.7105,0.182,0.0821,"Bear Lake County, ID",Q1: Least vulnerable,FALSE,0.5257
16009,ID,"Benewah County, ID",8617,0.011140768,0.279099455,0.709759777,0.713,0.771,9731,0.6717,0.8123,0.6955,0.4588,0.3618,"Benewah County, ID",Q3,FALSE,0.7213499999999999
16011,ID,"Bingham County, ID",29034,0.492767101,0.04735827,0.45987463,0.924,0.934,48253,0.5469,0.5517,0.7423,0.6249,0.2841,"Bingham County, ID",Q3,FALSE,0.74045
16013,ID,"Blaine County, ID",15267,0.005567564,0.499901749,0.494530687,0.899,0.904,24248,0.4025,0.2523,0.6462,0.6516,0.385,"Blaine County, ID",Q2,FALSE,0.65325
16015,ID,"Boise County, ID",8130,1.23001e-4,0.109102091,0.890774908,0.987,0.982,7809,0.1075,0.1578,0.1292,0.3961,0.1346,"Boise County, ID",Q1: Least vulnerable,FALSE,0.54475
16017,ID,"Bonner County, ID",38928,0.042231813,0.177147554,0.780620633,0.597,0.694,47976,0.412,0.4655,0.3318,0.2692,0.4954,"Bonner County, ID",Q2,FALSE,0.5529999999999999
16019,ID,"Bonneville County, ID",53836,0.708503604,0.027602348,0.263894049,0.858,0.875,124490,0.4473,0.4101,0.5915,0.504,0.3703,"Bonneville County, ID",Q2,FALSE,0.66115
16021,ID,"Boundary County, ID",10758,0.001394311,0.220580033,0.778025655,0.736,0.794,12335,0.5037,0.657,0.5199,0.3388,0.3067,"Boundary County, ID",Q3,FALSE,0.64885
16023,ID,"Butte County, ID",3695,0.033558863,0.446278755,0.520162382,0.808,0.833,2605,0.7009,0.5186,0.9959,0.328,0.4267,"Butte County, ID",Q3,FALSE,0.76695
16025,ID,"Camas County, ID",2111,0.180009474,0.064898153,0.755092373,0.902,0.9,1133,0.3271,0.5348,0.3824,0.5406,0.0907,"Camas County, ID",Q2,FALSE,0.61355
